"젊은이여 그 길은 너의 것이다." - 모의고사 필적 확인란,2022년 6월 고3 모의고사 필적 확인란 문구,EXISTENCE,인생
"도망쳐서 도착한 곳에 낙원은 없다." - 책 <베르세르크 中>,베르세르크 중 한 구절,EXISTENCE,인생
"행복을 얻기란 그리 어렵지 않다." - 책 <마음의 속도를 늦춰라 中>,마음의 속도를 늦춰라 중 한 구절 - 저자 장샤오헝,EXISTENCE,인생
"6개월 투자가 이후 60년을 결정합니다." - 홀맨,메가테라 디스코드 공지 홀맨님이 남겨주신 코멘트 중.. (6/18),EXISTENCE,동기부여
"이별의 아픔 속에서만 사랑의 깊이를 알게 된다." - 조지 앨리엇,George Eliot newLine 영국 소설가 본명은 메리 앤 에번스(Mary Ann Evans),EXISTENCE,이별
"낙관주의는 성공으로 인도하는 믿음이다." - 헬렌 켈러,Helen Adams Keller newLine 미국의 작가 교육자이자 사회주의 운동가이다. 그녀는 인문계 학사를 받은 최초의 시각 청각 시청각장애인이다.,EXISTENCE,희망
"어제의 꿈은 오늘의 희망이며 내일의 현실이다." - 로버트 고다드,Robert H. Goddard newLine 세계 최초의 액체 연료 로켓 을 만들고 제작한 것으로 알려진 미국의 엔지니어 물리학자 및 발명가 입니다.,EXISTENCE,희망
"미쳐라 미친놈이 성공한다" - 공부자극 유튜브 中,공부자극 유튜브 제목,EXISTENCE,동기부여
"변화는 결코 쉽지 않지만 항상 가능하다." - 버락 오바마,버락 오바마,EXISTENCE,동기부여
"사랑은 변하지 않아. 단지 사람의 마음이 변했을 뿐이지." - 영화 <봄날은 간다 中>,영화 <봄날은 간다(2001)> 대사 中,EXISTENCE,이별
"지나간 슬픔에 새 눈물을 낭비하지 마라." - 에우리피데스, 그리스 3대 비극 작가 중 한 명이며 고대 아테네에서 활동한 newLine 아이스킬로스 소포클레스와 더불어 가장 뛰어나다고 평가 받는 비극 시인,EXISTENCE,이별
